title,stars,url,text
Colossal Waste of time,1,https://wordpress.org/support/topic/colossal-waste-of-time/,"

				
				<p>Just wasted a lot of work time with this. It stopped working after a while and i didn&#8217;t even do anything. It just now keep on saying &#8220;Preview cannot be loaded&#8221;. I have already debugged it as instructed on their site. All plugins disabled except elementor, and the issue just wont go away. colossal waste of time!</p>

				
			"
Best Page Builder ever,5,https://wordpress.org/support/topic/best-page-builder-ever-22/,"

				
				<p>I love it.</p>

				
			"
Excellent Page Builder,5,https://wordpress.org/support/topic/excellent-page-builder-14/,"

				
				<p>Is a great platform for a web developer, Thank you Elementor for this plugin</p>

				
			"
Fantastic plugin,5,https://wordpress.org/support/topic/fantastic-plugin-1116/,"

				
				<p>Fantastic plugin</p>

				
			"
خیلی عالی,5,https://wordpress.org/support/topic/%d8%ae%db%8c%d9%84%db%8c-%d8%b9%d8%a7%d9%84%db%8c-3/,"

				
				<p>خیلی عالی</p>

				
			"
The best pagebuilder for WordPress,5,https://wordpress.org/support/topic/the-best-pagebuilder-for-wordpress/,"

				
				<p>I really love the simplicity and clarity of this plugin. The site now is very faster and with less code inside.</p>

				
			"
Great tool,5,https://wordpress.org/support/topic/great-tool-1066/,"

				
				<p>Very easy to use. Loving it.</p>

				
			"
The best page builder plugin for WP so far.,5,https://wordpress.org/support/topic/the-best-page-builder-plugin-for-wp-so-far/,"

				
				<p>Just love the community support and new constant updates taking into count the user&#8217;s requests. Good job!</p>

				
			"
Great,5,https://wordpress.org/support/topic/great-9443/,"

				
				<p>ARIGATO!</p>

				
			"
Elementor,5,https://wordpress.org/support/topic/elementor-44/,"

				
				<p>I like elementor because it is time-saving and easy to use. Thanks, you have made my design a whole lot easier</p>

				
			"
Good Widget,5,https://wordpress.org/support/topic/good-widget-18/,"

				
				<p>Good Widget</p>

				
			"
Problems with Menu location controls,2,https://wordpress.org/support/topic/problems-with-menu-location-controls/,"

				
				<p>Serious problem with menu location controls.<br />
Not cool. Moving to a different template.</p>

				
			"
Ganz großes Kino..,5,https://wordpress.org/support/topic/ganz-groses-kino/,"

				
				<p>Ich habe einige PageBuilder gesehen, erlebt und zu oft geflucht.<br />
Elementor ist genial&#8230;.fast perfekt.<br />
Ich sage es nicht oft, aber hier sage ich voller Überzeugung:<br />
ICH LIEBE ES&#8230;!!</p>

				
			"
Best theme builder for WordPress Bar NONE,5,https://wordpress.org/support/topic/best-theme-builder-for-wordpress-bar-none/,"

				
				<p>Top Notch Code!!!</p>

				
			"
Very good,5,https://wordpress.org/support/topic/very-good-3781/,"

				
				<p>Helps everyone to build a webpage </p>

				
			"
Good Widget,5,https://wordpress.org/support/topic/good-widget-17/,"

				
				<p>one of the most helpful plugins that I am using for WordPress at this time.</p>

				
			"
Eccellente,5,https://wordpress.org/support/topic/eccellente-39/,"

				
				<p>Eccellente </p>

				
			"
Best,5,https://wordpress.org/support/topic/best-662/,"

				
				<p>Best</p>

				
			"
Good to layout simple pages,4,https://wordpress.org/support/topic/good-to-layout-simple-pages/,"

				
				<p>Its a good plugin. But it simple.</p>

				
			"
Awesome!,5,https://wordpress.org/support/topic/awesome-6520/,"

				
				<p>It saves my time, professional and flexible. Every site I develop I use this plugin.</p>

				
			"
Makes life easier,5,https://wordpress.org/support/topic/makes-life-easier-30/,"

				
				<p>Makes control over my websites easier. More control on all aspects. </p>

				
			"
A great template,5,https://wordpress.org/support/topic/a-great-template-3/,"

				
				<p>I was new for WordPress 2 months ago.  And I designed my website from scratch without knowing any code!  Fantastic!</p>

				
			"
Multi posibilidades,5,https://wordpress.org/support/topic/multi-posibilidades/,"

				
				<p>Me encanta, te limita solo la imaginación, me permite construir magistral web sin tener un basto conocimiento de códigos.</p>


<ul id=""bbp-topic-revision-log-11323590"" class=""bbp-topic-revision-log"">

	<li id=""bbp-topic-revision-log-11323590-item-11323608"" class=""bbp-topic-revision-log-item"">
		This topic was modified 1 week, 3 days ago by <a href=""https://wordpress.org/support/users/almonti/"" title=""View almonti&#039;s profile""><img alt='' src='https://secure.gravatar.com/avatar/131ca098059873a5eb0623e8c465fb5f?s=14&#038;d=retro&#038;r=g' srcset='https://secure.gravatar.com/avatar/131ca098059873a5eb0623e8c465fb5f?s=28&#038;d=retro&#038;r=g 2x' class='avatar avatar-14 photo' height='14' width='14' /></a>&nbsp;<a href=""https://wordpress.org/support/users/almonti/"" title=""View almonti&#039;s profile"">almonti</a>.
	</li>

</ul>


				
			"
Großartig.,5,https://wordpress.org/support/topic/grosartig-9/,"

				
				<p>Mit einigen Hilfevideos aus dem Netz kommt man auch als Beginner und ohne Enlischkenntnisse bereits zu guten Ergebnissen.</p>

				
			"
Awesome and Easy to learn,5,https://wordpress.org/support/topic/awesome-and-easy-to-learn/,"

				
				<p>This is the only page builder plugin that made me believe wordpress can be easy in terms of design. It&#8217;s the best every developer needs to save time especially.</p>

				
			"
My favourite page builder,5,https://wordpress.org/support/topic/my-favourite-page-builder-3/,"

				
				<p>Easy to use with many features, even for the free one.</p>

				
			"
Best Plugin Ever!,5,https://wordpress.org/support/topic/best-plugin-ever-271/,"

				
				<p>You guys are amazing and you keep making things better!</p>

				
			"
Elementor Pro Milestone in WP design!,5,https://wordpress.org/support/topic/elementor-pro-milestone-in-wp-design/,"

				
				<p>Worthless saying that Elementor Pro and his brilliant team have not only made site building a real &#8216;simple&#8217; pleasure, something for all beginners to professionals, but definitely we can all agree that Elementor Pro has made the Milestone in WP design we were all patiently and full of hope waiting from since the first approach to WP.</p>
<p>Thank you all for your incredible support and thriving to do always better than best! 🙂</p>
<p>Team Sunshine Studio </p>

				
			"
Fantastico,5,https://wordpress.org/support/topic/fantastico-142/,"

				
				<p>Plugin fantastico, mi sono avvicinato al mondo wordpress da poco, ma con questo fantastico plugin la maggior parte del lavoro è semplificata&#8230;<br />
Consigliato 5 stelle meritate ! ! ! </p>

				
			"
Großartig,5,https://wordpress.org/support/topic/grosartig-8/,"

				
				<p>nach anfänglichen Schwiergkeiten, bis ich wusste, wie es zu nutzen ist, ein erstklasiges Tool. Grossartig. Ich arbeite gerne mit Elementor. </p>

				
			"
So easy to use!,5,https://wordpress.org/support/topic/so-easy-to-use-125/,"

				
				<p>I appreciate the way this plugin works and how powerful and easy it is to use. You can quickly create sharp-looking pages that have attractive content and that engage the reader easily. I wish I hadn&#8217;t waited as long as I did, but they also keep improving it, too. Thanks!</p>

				
			"
Creative,5,https://wordpress.org/support/topic/creative-3/,"

				
				<p>Make it easier and effective for our jobs. Thank you so much</p>

				
			"
I love this plugin,5,https://wordpress.org/support/topic/i-love-this-plugin-313/,"

				
				<p>I love this plugin. It makes building website effortless.</p>

				
			"
Love it!!,5,https://wordpress.org/support/topic/love-it-2515/,"

				
				<p>I provided the most stars because this design tool solves all the page design issues I encounter. I know there are many others but this one is my favorite.</p>


<ul id=""bbp-topic-revision-log-11319210"" class=""bbp-topic-revision-log"">

	<li id=""bbp-topic-revision-log-11319210-item-11319214"" class=""bbp-topic-revision-log-item"">
		This topic was modified 1 week, 5 days ago by <a href=""https://wordpress.org/support/users/bohitio65/"" title=""View bohitio65&#039;s profile""><img alt='' src='https://secure.gravatar.com/avatar/577e12736862f5092c05a3e7d9d3b4b0?s=14&#038;d=retro&#038;r=g' srcset='https://secure.gravatar.com/avatar/577e12736862f5092c05a3e7d9d3b4b0?s=28&#038;d=retro&#038;r=g 2x' class='avatar avatar-14 photo' height='14' width='14' /></a>&nbsp;<a href=""https://wordpress.org/support/users/bohitio65/"" title=""View bohitio65&#039;s profile"">bohitio65</a>.
	</li>
	<li id=""bbp-topic-revision-log-11319210-item-11319217"" class=""bbp-topic-revision-log-item"">
		This topic was modified 1 week, 5 days ago by <a href=""https://wordpress.org/support/users/bohitio65/"" title=""View bohitio65&#039;s profile""><img alt='' src='https://secure.gravatar.com/avatar/577e12736862f5092c05a3e7d9d3b4b0?s=14&#038;d=retro&#038;r=g' srcset='https://secure.gravatar.com/avatar/577e12736862f5092c05a3e7d9d3b4b0?s=28&#038;d=retro&#038;r=g 2x' class='avatar avatar-14 photo' height='14' width='14' /></a>&nbsp;<a href=""https://wordpress.org/support/users/bohitio65/"" title=""View bohitio65&#039;s profile"">bohitio65</a>.
	</li>

</ul>


				
			"
Facing issue on every updates now getting issue with Version 2.4.7,1,https://wordpress.org/support/topic/facing-issue-on-every-updates-now-getting-issue-with-version-2-4-7/,"

				
				<p>Facing issue on every updates now getting  issue with Version 2.4.8 , I have to roll back it to 2.4.7 </p>
<p>, why you guys dont care about compatibility issue</p>
<p>I hate your updates</p>


<ul id=""bbp-topic-revision-log-11319076"" class=""bbp-topic-revision-log"">

	<li id=""bbp-topic-revision-log-11319076-item-11319078"" class=""bbp-topic-revision-log-item"">
		This topic was modified 1 week, 5 days ago by <a href=""https://wordpress.org/support/users/seleniumtpoint/"" title=""View seleniumtpoint&#039;s profile""><img alt='' src='https://secure.gravatar.com/avatar/095070afe18545b4bc05c5c7de681471?s=14&#038;d=retro&#038;r=g' srcset='https://secure.gravatar.com/avatar/095070afe18545b4bc05c5c7de681471?s=28&#038;d=retro&#038;r=g 2x' class='avatar avatar-14 photo' height='14' width='14' /></a>&nbsp;<a href=""https://wordpress.org/support/users/seleniumtpoint/"" title=""View seleniumtpoint&#039;s profile"">seleniumtpoint</a>.
	</li>

</ul>


				
			"
Great Plugin,5,https://wordpress.org/support/topic/great-plugin-21196/,"

				
				<p>Great Plugin</p>

				
			"
Excelent,5,https://wordpress.org/support/topic/excelent-723/,"

				
				<p>Excelente aplicacion</p>

				
			"
Great product!,5,https://wordpress.org/support/topic/great-product-520/,"

				
				<p>Easy to use, works as promised. Highly recommend it.</p>

				
			"
The best builder I&#8217;ve tried,5,https://wordpress.org/support/topic/the-best-builder-ive-tried/,"

				
				<p>Great plugin!</p>

				
			"
Better and easier than customize templates,5,https://wordpress.org/support/topic/better-and-easier-than-customize-templates/,"

				
				<p>Searching days to find the best template that matches your desired style? Then digging in to the coding files to make changes. With elementor you can create any design + responsive with a super simple interface. Elementor makes life easier and makes you a pro website builder.</p>


<ul id=""bbp-topic-revision-log-11317818"" class=""bbp-topic-revision-log"">

	<li id=""bbp-topic-revision-log-11317818-item-11317819"" class=""bbp-topic-revision-log-item"">
		This topic was modified 1 week, 5 days ago by <a href=""https://wordpress.org/support/users/harrynieuw/"" title=""View harrynieuw&#039;s profile""><img alt='' src='https://secure.gravatar.com/avatar/96340e01449a328aa5af59933be215b8?s=14&#038;d=retro&#038;r=g' srcset='https://secure.gravatar.com/avatar/96340e01449a328aa5af59933be215b8?s=28&#038;d=retro&#038;r=g 2x' class='avatar avatar-14 photo' height='14' width='14' /></a>&nbsp;<a href=""https://wordpress.org/support/users/harrynieuw/"" title=""View harrynieuw&#039;s profile"">harrynieuw</a>.
	</li>

</ul>


				
			"
Best Page Builder,5,https://wordpress.org/support/topic/best-page-builder-40/,"

				
				<p>I have been using the Elementor Page Builder for over 6 months and love every aspect of the plugin. They are very innovative and improve the plugin all the time. I always am excited to see what they come up with next. I also love how active they are on Youtube with all their tutorials and creative videos showing how to use Elementor. THANK YOU!</p>

				
			"
Excellent,5,https://wordpress.org/support/topic/excellent-7450/,"

				
				<p>Really easy to use</p>

				
			"
update to 2.5.7 broke my website,4,https://wordpress.org/support/topic/latest-update-broke-my-website-2/,"

				
				<p>Had to roll back to 2.4.7, which meant that a few nice improvements now have to be hidden until I can at least get back to 2.5.6. First time this has happened with Elementor. Perhaps you guys need to slow down on the updates to test them more thoroughly in future.</p>
<p>EDIT: Now I&#8217;m back on 2.5.7 after figuring out which plugin Elementor no longer plays nicely with. It&#8217;s Speed Booster Pack. Seems they are rushing updates out these days and this was an issue I didn&#8217;t need this morning.</p>


<ul id=""bbp-topic-revision-log-11316158"" class=""bbp-topic-revision-log"">

	<li id=""bbp-topic-revision-log-11316158-item-11316272"" class=""bbp-topic-revision-log-item"">
		This topic was modified 1 week, 5 days ago by <a href=""https://wordpress.org/support/users/rossuren/"" title=""View rossuren&#039;s profile""><img alt='' src='https://secure.gravatar.com/avatar/07a9071cec3a8131474a352cf5498f8c?s=14&#038;d=retro&#038;r=g' srcset='https://secure.gravatar.com/avatar/07a9071cec3a8131474a352cf5498f8c?s=28&#038;d=retro&#038;r=g 2x' class='avatar avatar-14 photo' height='14' width='14' /></a>&nbsp;<a href=""https://wordpress.org/support/users/rossuren/"" title=""View rossuren&#039;s profile"">rossuren</a>.
	</li>
	<li id=""bbp-topic-revision-log-11316158-item-11316275"" class=""bbp-topic-revision-log-item"">
		This topic was modified 1 week, 5 days ago by <a href=""https://wordpress.org/support/users/rossuren/"" title=""View rossuren&#039;s profile""><img alt='' src='https://secure.gravatar.com/avatar/07a9071cec3a8131474a352cf5498f8c?s=14&#038;d=retro&#038;r=g' srcset='https://secure.gravatar.com/avatar/07a9071cec3a8131474a352cf5498f8c?s=28&#038;d=retro&#038;r=g 2x' class='avatar avatar-14 photo' height='14' width='14' /></a>&nbsp;<a href=""https://wordpress.org/support/users/rossuren/"" title=""View rossuren&#039;s profile"">rossuren</a>.
	</li>

</ul>


				
			"
it&#8217;s very good,5,https://wordpress.org/support/topic/its-very-good-28/,"

				
				<p>good for desgin website.</p>

				
			"
Excelente construtor de página,5,https://wordpress.org/support/topic/excelente-construtor-de-pagina/,"

				
				<p>Excelente construtor de página!</p>

				
			"
Custom font support,5,https://wordpress.org/support/topic/custom-font-support/,"

				
				<p>Elementor support custom fonts and it is best for middle eastern. </p>

				
			"
Worthless,1,https://wordpress.org/support/topic/worthless-46/,"

				
				<p>Their support is trash and the plugin breaks for every update. If you have an issue they tell you to deactivate every plugin and use default theme (which never works cause their update is broken anyway), even if it was working perfectly before the update. They ask you to spend your time posting data and troubleshooting their own faulty code, as if I work for them. My work is $60/hr, maybe I should send them an invoice for all the time I&#8217;ve spent with their trash code.</p>
<p>I did find the best solution though, deactivate and delete anything that has to do with elementor = problem fixed.</p>


<ul id=""bbp-topic-revision-log-11314111"" class=""bbp-topic-revision-log"">

	<li id=""bbp-topic-revision-log-11314111-item-11314117"" class=""bbp-topic-revision-log-item"">
		This topic was modified 1 week, 6 days ago by <a href=""https://wordpress.org/support/users/calibur/"" title=""View calibur&#039;s profile""><img alt='' src='https://secure.gravatar.com/avatar/a090a7f6e91074d60ba9cf46d5014f37?s=14&#038;d=retro&#038;r=g' srcset='https://secure.gravatar.com/avatar/a090a7f6e91074d60ba9cf46d5014f37?s=28&#038;d=retro&#038;r=g 2x' class='avatar avatar-14 photo' height='14' width='14' /></a>&nbsp;<a href=""https://wordpress.org/support/users/calibur/"" title=""View calibur&#039;s profile"">calibur</a>.
	</li>

</ul>


				
			"
Very easy to use..,5,https://wordpress.org/support/topic/very-easy-to-use-419/,"

				
				<p>Very easy to use..</p>

				
			"
EDIT STYLE NOT APPEAR in section,1,https://wordpress.org/support/topic/edit-style-not-appear-in-section/,"

				
				<p>Why? all is updated blablabla&#8230; worst support ever!</p>

				
			"
Great Plugin But..,5,https://wordpress.org/support/topic/great-plugin-but-132/,"

				
				<p>is a good plugin, to be free I could say that it is the best available &#8230; easy to use, intuitive and good prices.<br />
the only thing I can point out is that the FontAwesome version is quite old, they could update it.<br />
regards</p>

				
			"
Рад что такое сделали,5,https://wordpress.org/support/topic/%d1%80%d0%b0%d0%b4-%d1%87%d1%82%d0%be-%d1%82%d0%b0%d0%ba%d0%be%d0%b5-%d1%81%d0%b4%d0%b5%d0%bb%d0%b0%d0%bb%d0%b8/,"

				
				<p>Я давно мечтал, чтобы редактировать сайты не зная кода было очень легко, и вот, свершилось!!!<br />
ребята просто супер, как и всё, что они делают))</p>

				
			"
terbaik,5,https://wordpress.org/support/topic/terbaik-7/,"

				
				<p>plugin terbaik yang mencukupi semua kebutuhan untuk kustomasi web. pokoknya mancab dan jatuh cintaaaaa</p>

				
			"
Elementary Web Copy; Makes building a website very easy.,4,https://wordpress.org/support/topic/elementary-web-copy-makes-building-a-website-very-easy/,"

				
				<p>Smooth transitional phase for a non techy like me. Easy to use that it makes building a website look very easy. I am actually enjoying learning the process as I progress through building my own website.</p>

				
			"
